instrument_name,serial_number,notes,locker_assignment_id,student_id,instrument_kind,book_accessory,case_accessory,cork_grease_accessory,ligature_accessory,mouth_piece_accessory,oil_accessory,polishing_cloth_accessory,reeds_accessory,swab_accessory,condition

Etude,20010087,,1,,flute,0,0,0,0,0,0,0,0,0,decent condition
Jupiter,507,,3,,flute,0,0,0,0,0,0,0,0,0,decent condition
Gemeinhardt,451014,,4,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,841049P,,5,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8089628,,6,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8091050,,7,,flute,0,0,0,0,0,0,0,0,0,decent condition
Gemeinhardt,451011,,8,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,3111354,,9,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,896409P,,10,,flute,0,0,0,0,0,0,0,0,0,decent condition
Gemeinhardt,451005,,11,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,896380P,,12,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,841057P,,13,,flute,0,0,0,0,0,0,0,0,0,decent condition
Gemeinhardt,451009,,14,,flute,0,0,0,0,0,0,0,0,0,decent condition
Gemeinhardt,451019,,15,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,841053P,,23,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,7187610,,81,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,285307P,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong ,8091067,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,840958P,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Jupiter,B43708,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Generic,8050182,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Gemeinhardt,451008,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,841062P,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8089655,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,841075P,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Generic,878,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,841069P,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,D03835,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8089172,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8089593,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8089180,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,190806P,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,8091075,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
S.O Usa,314579,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Armstrong,7151063,,,,flute,0,0,0,0,0,0,0,0,0,decent condition
Yamaha,L22823,,16,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Yamaha,468081,,17,,clarinet,0,0,1,1,1,0,0,1,1,decent condition
Selmer,P0141050,,18,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
King,103540,,19,,clarinet,0,1,1,1,1,0,0,1,1,broken
Yamaha,L24002,,20,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
